attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.1,0.289751452913768,0,2,3,4,1,0,5,5,2,0,0,0,0,4,0
0.1,0.16122128725400442,0,1,2,5,1,3,0,2,1,0,0,0,0,4,0
0.1,0.9296976523425731,0,3,0,2,4,2,4,3,4,0,0,0,0,4,0
0.1,0.808120379564417,0,3,3,2,4,1,3,2,5,0,0,0,0,4,0
0.1,0.6334037565104235,0,1,6,1,3,3,2,5,3,0,0,0,0,4,0
0.9,0.1195942459383017,1,2,0,5,2,2,0,1,5,0,0,0,0,4,0
0.9,0.713244787222995,1,2,5,2,6,3,0,1,5,0,0,0,0,4,0
0.9,0.7607850486168974,1,2,3,4,4,2,1,1,3,0,0,0,0,4,0
0.9,0.5612771975694962,1,3,0,1,4,3,0,5,6,0,0,0,0,4,0
0.9,0.770967179954561,1,0,1,2,5,2,0,2,1,0,0,0,0,4,0
0.5,0.03142918568673425,0,1,5,2,3,1,0,1,2,0,0,0,0,4,0
0.5,0.6364104112637804,1,2,4,5,3,3,0,4,6,0,0,0,0,4,0
0.5,0.3143559810763267,0,2,5,4,3,3,3,1,5,0,0,0,0,4,0
0.5,0.5085706911647028,0,0,3,3,5,2,0,1,2,0,0,0,0,4,0
0.5,0.907566473926093,1,0,6,3,5,0,6,2,4,0,0,0,0,4,0
0.5,0.24929222914887494,0,3,2,2,5,3,5,4,1,0,0,0,0,4,0
0.5,0.41038292303562973,1,3,2,4,3,2,5,1,2,0,0,0,0,4,0
0.5,0.7555511385430487,1,2,3,4,3,3,6,5,1,0,0,0,0,4,0
0.5,0.22879816549162246,1,3,0,3,3,2,0,4,5,0,0,0,0,4,0
0.5,0.07697990982879299,0,0,5,5,4,3,0,2,5,0,0,0,0,4,0
0.9,0.49379559636439074,1,3,4,5,5,1,6,5,4,0,0,0,0,4,0
0.9,0.5227328293819941,1,3,3,3,5,3,2,5,5,0,0,0,0,4,0
0.9,0.42754101835854963,0,0,4,1,2,1,2,1,2,0,0,0,0,4,0
0.9,0.02541912674409519,1,1,1,5,1,1,0,4,4,0,0,0,0,4,0
0.9,0.10789142699330445,1,3,2,1,2,2,5,3,6,0,0,0,0,4,0
0.1,0.8714605901877177,1,0,2,3,5,3,6,2,4,0,0,0,0,4,0
0.1,0.8036720768991145,0,3,2,3,5,3,3,3,2,0,0,0,0,4,0
0.1,0.18657005888603584,0,1,4,4,2,3,0,3,6,0,0,0,0,4,0
0.1,0.8925589984899778,0,3,5,4,4,1,3,1,2,0,0,0,0,4,0
0.1,0.5393422419156507,0,2,6,1,4,0,4,4,1,0,0,0,0,4,0
