attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.5,0.12203823484477883,1,2,1,3,5,3,2,1,1,0,0,0,0,4,0
0.5,0.4951769101112702,1,3,6,3,1,0,2,2,6,0,0,0,0,4,0
0.5,0.034388521115218396,0,2,1,4,5,3,4,1,1,0,0,0,0,4,0
0.5,0.9093204020787821,1,0,5,2,5,0,6,3,5,0,0,0,0,4,0
0.5,0.2587799816000169,0,1,3,2,1,2,2,1,3,0,0,0,0,4,0
0.1,0.9218742350231168,0,1,1,4,6,3,5,2,5,0,0,0,0,4,0
0.1,0.0884925020519195,0,2,3,5,1,2,2,2,4,0,0,0,0,4,0
0.1,0.1959828624191452,0,2,3,4,4,1,4,4,6,0,0,0,0,4,0
0.1,0.045227288910538066,0,1,5,1,3,2,0,2,6,0,0,0,0,4,0
0.1,0.32533033076326434,0,2,1,2,2,0,0,2,4,0,0,0,0,4,0
0.9,0.8083973481164611,1,2,1,3,4,1,5,3,4,0,0,0,0,4,0
0.9,0.3046137691733707,0,2,6,1,1,3,4,5,1,0,0,0,0,4,0
0.9,0.09767211400638387,1,0,4,2,5,2,1,3,1,0,0,0,0,4,0
0.9,0.6842330265121569,1,1,2,3,2,3,6,5,6,0,0,0,0,4,0
0.9,0.4401524937396013,1,2,4,5,1,2,5,1,2,0,0,0,0,4,0
0.5,0.662522284353982,0,1,5,2,6,0,2,5,4,0,0,0,0,4,0
0.5,0.31171107608941095,0,1,1,2,2,3,0,2,6,0,0,0,0,4,0
0.5,0.5200680211778108,0,2,6,4,6,1,2,2,6,0,0,0,0,4,0
0.5,0.5467102793432796,1,0,3,1,4,1,1,4,3,0,0,0,0,4,0
0.5,0.18485445552552704,1,2,6,2,2,0,5,2,4,0,0,0,0,4,0
0.9,0.6075448519014384,1,3,1,2,3,1,0,5,6,0,0,0,0,4,0
0.9,0.17052412368729153,1,0,5,3,1,0,4,4,5,0,0,0,0,4,0
0.9,0.06505159298527952,1,1,0,5,1,1,0,5,1,0,0,0,0,4,0
0.9,0.9488855372533332,1,1,3,1,5,1,4,5,1,0,0,0,0,4,0
0.9,0.9656320330745594,1,0,3,5,5,2,2,2,6,0,0,0,0,4,0
0.1,0.9695846277645586,1,0,0,3,2,2,0,1,5,0,0,0,0,4,0
0.1,0.7751328233611146,0,3,2,3,4,0,3,5,2,0,0,0,0,4,0
0.1,0.9394989415641891,0,2,0,4,1,1,2,4,1,0,0,0,0,4,0
0.1,0.8948273504276488,0,2,4,3,6,0,5,3,5,0,0,0,0,4,0
0.1,0.5978999788110851,0,2,5,4,3,3,5,3,5,0,0,0,0,4,0
