attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.5,0.020584494295802447,1,1,4,3,2,3,3,4,2,0,0,0,0,4,0
0.5,0.9699098521619943,0,2,1,2,6,2,5,5,4,0,0,0,0,4,0
0.5,0.8324426408004217,1,3,2,2,2,3,0,1,1,0,0,0,0,4,0
0.5,0.21233911067827616,0,1,5,2,6,3,4,1,4,0,0,0,0,4,0
0.5,0.18182496720710062,1,3,4,4,5,2,4,1,6,0,0,0,0,4,0
0.9,0.15599452033620265,1,0,4,3,6,2,4,2,6,0,0,0,0,4,0
0.9,0.05808361216819946,0,0,0,2,3,0,6,2,1,0,0,0,0,4,0
0.9,0.8661761457749352,1,3,2,4,6,2,1,3,3,0,0,0,0,4,0
0.9,0.6011150117432088,1,1,5,3,6,0,4,2,5,0,0,0,0,4,0
0.9,0.7080725777960455,1,1,1,4,4,2,5,5,2,0,0,0,0,4,0
0.9,0.3745401188473625,1,3,0,1,1,1,1,5,5,0,0,0,0,4,0
0.9,0.9507143064099162,1,0,4,2,6,3,1,4,5,0,0,0,0,4,0
0.9,0.7319939418114051,1,2,6,1,2,3,2,3,2,0,0,0,0,4,0
0.9,0.5986584841970366,1,1,6,3,1,0,3,1,3,0,0,0,0,4,0
0.9,0.15601864044243652,1,2,4,3,1,3,4,1,4,0,0,0,0,4,0
0.1,0.6118528947223795,1,1,4,2,6,2,3,3,4,0,0,0,0,4,0
0.1,0.13949386065204183,0,3,0,2,2,0,2,1,5,0,0,0,0,4,0
0.1,0.29214464853521815,0,1,4,2,1,0,5,1,2,0,0,0,0,4,0
0.1,0.3663618432936917,0,0,0,3,1,1,2,4,2,0,0,0,0,4,0
0.1,0.45606998421703593,0,1,5,5,5,3,1,4,4,0,0,0,0,4,0
0.1,0.7851759613930136,0,1,0,1,6,3,2,4,4,0,0,0,0,4,0
0.1,0.19967378215835974,0,3,6,1,6,0,0,4,6,0,0,0,0,4,0
0.1,0.5142344384136116,0,2,6,1,2,1,1,5,4,0,0,0,0,4,0
0.1,0.5924145688620425,0,1,3,2,3,3,1,1,4,0,0,0,0,4,0
0.1,0.046450412719997725,0,0,0,5,1,0,6,2,2,0,0,0,0,4,0
0.5,0.18340450985343382,0,0,5,5,3,2,0,3,4,0,0,0,0,4,0
0.5,0.3042422429595377,0,1,3,1,6,2,4,2,5,0,0,0,0,4,0
0.5,0.5247564316322378,1,0,6,3,6,1,1,3,2,0,0,0,0,4,0
0.5,0.43194501864211576,1,0,4,3,4,0,0,3,3,0,0,0,0,4,0
0.5,0.2912291401980419,0,1,0,2,5,0,0,4,1,0,0,0,0,4,0
