attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.5,0.5061720139118591,1,0,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0.55,1,1,4,1,1,1,7,1,1,0,0,0,0,5,0
0.9,0,0,0,0,3,5,0,3,1,1,0,0,0,0,1,0
0.5,0.4972398638866856,1,2,3,1,1,2,6,1,1,0,0,0,0,6,0
0.1,0,0,0,5,3,5,0,0,1,1,0,0,0,0,1,0
0.9,0.6089431865219268,1,2,4,3,5,2,7,3,5,0,0,0,0,6,0
0.5,0,0,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.1,0,0,0,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0.590300526,1,2,7,1,1,2,2,1,1,0,0,0,0,5,0
0.9,0.35,1,2,2,3,5,0,5,1,1,0,0,0,0,1,0
0.1,0,0,1,1,1,1,1,4,1,1,0,0,0,0,6,0
0.9,0.4388799187884621,1,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.1,0,0,1,3,3,5,1,6,3,5,0,0,0,0,6,0
0.5,0,0,0,2,3,5,0,5,1,1,0,0,0,0,1,0
0.5,0.3907056304238269,1,2,0,3,5,2,3,3,5,0,0,0,0,5,0
0.5,0,0,1,2,3,5,0,5,1,1,0,0,0,0,1,0
0.9,0.4955700162077003,1,1,5,3,5,1,0,3,5,0,0,0,0,6,0
0.5,0.4184619812231784,1,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.1,0,0,0,2,1,1,0,5,1,1,0,0,0,0,6,0
0.1,0,0,2,7,3,5,0,2,1,1,0,0,0,0,1,0
0.9,0.55,1,1,2,3,5,0,5,1,1,0,0,0,0,1,0
0.1,0,0,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.5,0,0,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.9,0.5290164610694356,1,0,7,1,1,0,2,1,1,0,0,0,0,5,0
0.9,0.35,1,0,7,3,5,0,2,1,1,0,0,0,0,1,0
0.9,0.5764333342826006,1,0,1,3,5,0,4,3,5,0,0,0,0,5,0
0.5,0.4234324151225926,1,0,2,3,5,0,5,1,1,0,0,0,0,1,2
0.1,0,0,2,0,3,5,2,3,3,5,0,0,0,0,6,0
0.1,0,0,1,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0,0,0,1,1,1,0,4,1,1,0,0,0,0,5,0
0.9,0.4261514274439839,1,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.1,0,0,0,6,3,5,0,1,3,5,0,0,0,0,5,0
0.5,0.4914147365155624,1,1,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0.4894343668085019,1,0,1,3,5,0,4,1,1,0,0,0,0,1,0
0.5,0,0,2,7,3,5,0,2,1,1,0,0,0,0,1,0
0.1,0,0,0,0,1,1,0,3,1,1,0,0,0,0,5,0
0.1,0,0,0,5,3,5,0,0,1,1,0,0,0,0,1,0
0.5,0,0,2,0,3,5,2,3,3,5,0,0,0,0,6,0
0.1,0.4941933599025621,1,0,3,3,5,0,6,1,1,0,0,0,0,1,0
0.5,0,0,1,4,1,1,1,7,1,1,0,0,0,0,5,0
0.9,0.55,1,2,3,3,5,0,6,1,1,0,0,0,0,1,0
0.1,0,0,2,0,3,5,2,3,3,5,0,0,0,0,5,0
