attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.5,0.4849291939886945,1,1,3,3,5,1,6,3,5,0,0,0,0,5,0
0.9,0.4818860604218989,1,2,5,3,5,0,0,1,1,0,0,0,0,1,0
0.5,0.4,1,2,2,3,5,0,5,1,1,0,0,0,0,1,0
0.9,0.4725240166919141,1,0,7,1,1,0,2,1,1,0,0,0,0,5,0
0.5,0.6021284832473965,1,1,0,3,5,0,3,1,1,0,0,0,0,1,0
0.9,0.5564135098126202,1,1,3,3,5,1,6,3,5,0,0,0,0,6,0
0.9,0.34,1,0,0,3,5,0,3,1,1,0,0,0,0,1,0
0.5,0.5229221111069439,1,2,6,3,5,0,1,1,1,0,0,0,0,1,0
0.9,0.4727493730207886,1,2,2,3,5,2,5,3,5,0,0,0,0,6,0
0.9,0.5,1,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.9,0.35,1,1,7,3,5,0,2,1,1,0,0,0,0,1,0
0.1,0,0,0,4,3,5,0,7,3,5,0,0,0,0,6,0
0.5,0,0,2,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0,0,0,3,1,1,0,6,1,1,0,0,0,0,5,0
0.1,0,0,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.5,0.5991010743511572,1,0,1,3,5,0,4,3,5,0,0,0,0,5,0
0.1,0,0,0,4,3,5,0,7,1,1,0,0,0,0,1,0
0.9,0.5795211922772285,1,0,3,3,5,0,6,3,5,0,0,0,0,6,0
0.1,0,0,0,1,3,5,0,4,1,1,0,0,0,0,1,0
0.5,0.5262185462899148,1,1,4,3,5,1,7,3,5,0,0,0,0,6,0
0.5,0,0,1,2,3,5,0,5,1,1,0,0,0,0,1,0
0.1,0,0,2,2,3,5,0,5,1,1,0,0,0,0,1,0
0.5,0,0,0,4,3,5,0,7,1,1,0,0,0,0,1,0
0.1,0,0,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.5,0,0,0,1,3,5,0,4,3,5,0,0,0,0,6,0
0.1,0,0,0,7,3,5,0,2,1,1,0,0,0,0,1,0
0.1,0,0,2,3,1,1,2,6,1,1,0,0,0,0,5,4
0.5,0.3989380699732774,1,0,6,3,5,0,1,1,1,0,0,0,0,1,0
0.9,0.5345534577427156,1,0,2,1,1,0,5,1,1,0,0,0,0,6,0
0.9,0.4490716241852046,1,1,1,3,5,0,4,1,1,0,0,0,0,1,0
0.5,0,0,2,1,1,1,2,4,1,1,0,0,0,0,6,0
0.9,0,0,1,7,3,5,0,2,1,1,0,0,0,0,1,0
0.5,0.422733385,1,1,3,1,1,1,6,1,1,0,0,0,0,6,0
0.5,0,0,0,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0.6253740670324056,1,2,3,3,5,2,6,3,5,0,0,0,0,6,0
0.1,0.4422448075989751,1,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.5,0,0,2,6,3,5,2,1,3,5,0,0,0,0,5,0
0.1,0,0,2,6,3,5,0,1,1,1,0,0,0,0,1,0
0.1,0,0,1,3,1,1,1,6,1,1,0,0,0,0,6,0
0.9,0.4956426585431038,1,0,6,3,5,0,1,1,1,0,0,0,0,1,0
0.9,0.5,1,1,7,3,5,1,2,3,5,0,0,0,0,5,0
0.1,0,0,2,2,3,5,0,5,1,1,0,0,0,0,1,0
0.5,0,0,2,7,1,1,2,2,1,1,0,0,0,0,5,0
0.1,0,0,2,6,3,5,0,1,1,1,0,0,0,0,1,0
0.1,0.5147790508460118,1,2,0,1,1,2,3,1,1,0,0,0,0,6,0
0.9,0.5251111973483285,1,2,5,3,5,0,0,1,1,0,0,0,0,1,0
0.1,0,0,2,1,3,5,2,4,3,5,0,0,0,0,6,0
0.9,0.4408952903021007,1,0,5,3,5,0,0,1,1,0,0,0,0,1,0
